Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,STAFFORDSHIRE COUNCIL,1041116407,236346.38,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTHAMPTON CITY COUNCIL,1041116408,71740,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,MILTON KEYNES COUNCIL,1041116409,489780.1,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,DERBYSHIRE COUNTY COUNCIL,1041116410,151232.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH EAST LINCOLNSHIRE COUNCIL,1041116417,81958.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,1041116418,591615.74,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,WALSALL MBC,1041116419,1094580.59,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CHESHIRE EAST COUNCIL,1041116420,69410.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,CENTRAL BEDFORDSHIRE COUNCIL,1041116427,248552,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,MIDDLESBROUGH COUNCIL,1041116429,140901,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,BATH & NORTH EAST SOMERSET COUNCIL,1041116430,28512.75,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NOTTINGHAM CITY COUNCIL,1041116431,68049.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SHROPSHIRE COUNCIL,1041116438,36813.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SHEFFIELD CITY COUNCIL,1041116439,272650,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SOMERSET COUNTY COUNCIL,1041116440,515245.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,GLOUCESTERSHIRE COUNTY COUNCIL,1041116441,304064,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF WANDSWORTH COUNCIL,1041116448,380547,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF LEWISHAM,1041116449,69659,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,LONDON BOROUGH OF LAMBETH COUNCIL,1041116450,54826.5,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,GATESHEAD MBC,1041116458,749573,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,WAKEFIELD MDC,1041116459,102107,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,NORTHAMPTONSHIRE COUNTY COUNCIL,1041116460,257106,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,STOCKPORT MBC,1041116462,766847.6,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,09/03/2020,Grants expenditure,CHILDRENS SOCIAL CARE,SUNDERLAND CITY COUNCIL,1041116469,196050,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
