Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Church School,22AYF0025846,"122,501.87",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CofE Primary Academy and Nursery,22AYF0023429,"86,992.52",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CofE Primary School,22AYF0014790,"68,209.05",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity CofE School,22AYF0025634,"125,144.34",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Lamorbey Church of England School,22AYF0001118,"114,950.62",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holy Trinity Primary School,22AYF0021445,"77,206.98",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Holy Trinity Primary School, A Church of England A",22AYF0012766,"126,708.13",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holybrook Primary School,22AYF0009890,"80,729.86",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holycroft Primary School,22AYF0017858,"123,777.36",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyhead Primary Academy,22AYF0022390,"72,374.95",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyhead School,22AYF0012776,"98,306.28",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyhead School,22AYF0012777,"34,221.30",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyhead School,22AYF0012779,"561,039.24",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyoakes Field First School,22AYF0003709,"80,662.74",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyport CofE Primary School,22AYF0019229,"77,735.19",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyport College,22AYF0012783,"85,574.99",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyport College,22AYF0012788,"169,262.43",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyrood Academy,22AYF0033735,"517,587.50",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holyrood Academy,22AYF0033737,"56,657.70",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holywell C of E Primary School,22AYF0034677,"30,837.22",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holywell Primary School,22AYF0008934,"56,891.77",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holywell Primary School,22AYF0012793,"121,775.36",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Holywell School,22AYF0012791,"257,447.16",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Home Farm Primary School,22AYF0001062,"103,264.95",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,Homefield College,ED212220210509076,"59,472.00",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,Homefield College,ED212220210509077,"54,295.08",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Homefields Primary School,22AYF0008489,"91,957.73",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Homewood School and Sixth Form Centre,22AYF0025409,"773,068.46",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Homewood School and Sixth Form Centre,22AYF0025411,"132,179.32",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Homewood School and Sixth Form Centre,22AYF0025412,"31,746.86",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Honeybourne First School,22AYF0012795,"50,722.31",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Honiton Community College,22AYF0012798,"298,213.01",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Honiton Community College,22AYF0012801,"25,764.29",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Honiton Community College,EUPS659505,"27,248.03",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Honley High School,22AYF0032995,"561,666.64",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hoo St Werburgh Primary School & Marlborough,22AYF0021369,"153,779.59",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hoo St Werburgh Primary School & Marlborough,22AYF0021371,"32,499.99",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hooe Primary Academy,22AYF0012879,"63,230.33",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hook CE Primary School,22AYF0008912,"62,437.39",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hook Lane Primary School,22AYF0016540,"137,621.37",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hookstone Chase Primary School,22AYF0017844,"94,190.05",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hook-with-Warsash Church Of England Academy,22AYF0012808,"117,059.14",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,Hoople Limited,ED212220210509156,"29,707.00",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Academy,22AYF0017347,"613,301.99",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Academy,EUPS658638,"76,800.00",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Community School,22AYF0017240,"54,311.78",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Community School Southampton,22AYF0017244,"59,742.20",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Hamilton CE Primary School,22AYF0032494,"128,360.28",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Valley College,22AYF0005616,"222,086.60",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hope Wood Academy,22AYF0025728,"158,333.27",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hopton Church of England Primary Academy,22AYF0027865,"55,775.79",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,HOPWOOD HALL COLLEGE,ED212220210508387,"1,511,308.50",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,HOPWOOD HALL COLLEGE,ED212220210508388,"62,304.00",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,17/09/2021,Grants Expenditure,ESFA Funding,HOPWOOD HALL COLLEGE,ED212220210508391,"207,630.75",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,20/09/2021,Grants Expenditure,ESFA Apprenticeships,HOPWOOD HALL COLLEGE,FCSAPP A380921-A,"42,756.62",Current grants - Private Sector
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,HORBURY ACADEMY,22AYF0000395,"475,086.23",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horbury Bridge Church of England Junior and Infant,22AYF0012854,"30,133.69",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horbury Primary Academy,22AYF0000398,"119,879.47",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horizon Community School,22AYF0012305,"928,322.23",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horizon Community School,22AYF0012306,"87,945.05",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horizon Primary Academy,22AYF0029543,"68,147.12",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horizons Academy Bexley,22AYF0016066,"97,499.96",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horn Park Primary School,22AYF0026775,"153,853.03",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hornbeam Academy Special Academy,22AYF0015665,"206,666.58",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hornbeam Academy Special Academy,22AYF0015667,"30,833.32",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hornbeam Primary School,22AYF0007175,"73,859.71",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,08/09/2021,Grants Expenditure,ESFA Funding,Horncastle Primary School,EUPS671502,"140,914.19",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Hornchurch High School,22AYF0019524,"375,063.25",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,Horndon-on-the-Hill CofE Primary School,22AYF0018678,"60,127.88",Current grants - Academy Trust
Department for Education,Education and Skills Funding Agency,01/09/2021,Grants Expenditure,ESFA Funding,"Horninglow Primary, A De Ferrers Trust Academy",22AYF0027267,"71,646.16",Current grants - Academy Trust
