Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,06/05/2022,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-037132,"56,963.93 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,10/05/2022,IS/IT,Technology,STONE COMPUTERS LTD,CORE-PINV-037221,"62,958.80 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,27/05/2022,IS/IT,Technology,Methods Business and Digital Technology Ltd,CORE-PINV-038103,"85,108.50 ",Systems Operations,,,,,,,,,
Department for Education,Core,20/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",Deltapoll Limited,CORE-PINV-036551,"25,000.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,19/05/2022,Other Costs,"Analysis, Data Exploitation and Science",ECORYS UK LTD,CORE-PINV-037750,"89,066.50 ",Research & development,,,,,,,,,
Department for Education,Core,20/05/2022,Other Costs,"Analysis, Data Exploitation and Science",ECORYS UK LTD,CORE-PINV-037751,"77,402.53 ",Research & development,,,,,,,,,
Department for Education,Core,06/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-037052,"76,763.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,26/05/2022,Other Costs,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-038017,"124,402.84 ",Research & development,,,,,,,,,
Department for Education,Core,27/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-037952,"36,142.50 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,31/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-038210,"28,782.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,16/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",Institute for Employment Studies,CORE-PINV-037499,"40,205.39 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,26/05/2022,Other Costs,"Analysis, Data Exploitation and Science",Kantar UK Ltd,CORE-PINV-038049,"61,239.00 ",Research & development,,,,,,,,,
Department for Education,Core,09/05/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-037121,"117,884.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,27/05/2022,Other Costs,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-038121,"35,789.00 ",Research & development,,,,,,,,,
Department for Education,Core,17/05/2022,Other Costs,"Analysis, Data Exploitation and Science",OECD,CUPS0045020,"230,702.76 ",Research & development,,,,,,,,,
