Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0038840,"35,930.50",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0038876,"31,983.98",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0039927,"51,410.20",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0039937,"54,788.90",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,NOTTINGHAMSHIRE COUNTY COUNCIL,CUPS0039978,"41,571.70",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,Nova Education Trust,CUPS0038849,"67,969.00",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,Omega Multi Academy Trust,CUPS0038842,"82,347.48",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Oxfordshire County Council,CUPS0039928,"29,116.31",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,Peterborough Diocese Education Trust,CUPS0038704,"27,480.68",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/02/2022,Grants Expenditure,Digital and Technology,PLYMOUTH CITY COUNCIL,CUPS0039041,"130,666.03",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/02/2022,Grants Expenditure,Digital and Technology,Roscoe Primary School,CUPS0040007,"31,963.76",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/02/2022,Grants Expenditure,Digital and Technology,SALISBURY DIOCESAN BOARD OF EDUCATION,CUPS0038866,"33,013.40",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/02/2022,Grants Expenditure,Digital and Technology,Sefton Metropolitan Borough Council,CUPS0038716,"36,575.00",Capital grants - Local Government,,,,,,,,,
