Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,16/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052013,"45,144.00",Software.Development
Department for Education,Core,21/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052062,"384,271.00",Software.Development
Department for Education,Core,21/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052058,"87,552.00",Software.Development
Department for Education,Core,21/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052033,"36,060.00",Software.Development
Department for Education,Core,20/02/2023,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052023,"26,460.00",ICT repair & maintenance
Department for Education,Core,21/02/2023,Other Costs,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-052016,"255,540.00",Software.Development
Department for Education,Core,28/02/2023,IS/IT,Data,Bramble Hub Limited,CORE-PINV-052547,"138,994.00",ICT repair & maintenance
Department for Education,Core,17/02/2023,Staff - Other,SARDIS,Cabinet Office,CORE-PINV-052546,"54,797.00",Recruitment Advertising
Department for Education,Core,07/02/2023,IS/IT,SARDIS,HIVE IT LIMITED,CORE-PINV-051818,"80,952.00",Systems Operations
Department for Education,Core,10/02/2023,IS/IT,Data,RM PLC,CORE-PINV-052224,"520,618.60",Systems Operations
Department for Education,Core,01/02/2023,IS/IT,Data,INFORMATICA SOFTWARE LTD,CORE-PINV-051105,"550,847.23",End User Software & Hardware
Department for Education,Core,01/02/2023,IS/IT,Data,Opencast Software Europe ltd,CORE-PINV-051355,"458,820.00",Systems Operations
Department for Education,Core,17/02/2023,IS/IT,"Disadvantage, International and Sustainability Directorate (DISD)",ESRI (UK) LIMITED,CORE-PINV-052297,"28,560.00",End User Software & Hardware
Department for Education,Core,27/02/2023,Other Goods & Services,"Disadvantage, International and Sustainability Directorate (DISD)",THE NATURAL HISTORY MUSEUM TRADING COMPANY LIMITED,CORE-PINV-053022,"79,844.40",Professional Services
Department for Education,Core,01/02/2023,Grants Expenditure,Capital Directorate,Kensington Aldridge Academy,DU00098906,"28,594.00",Current grants - Academy Trust
Department for Education,Core,09/02/2023,Grants Expenditure,Capital Directorate,Portakabin Ltd,D-PINV052142,"166,226.58",Current grants - Academy Trust
Department for Education,Core,13/02/2023,Grants Expenditure,Capital Directorate,Jisc Services Limited,D-PINV052331,"772,636.50",Current grants - Private Sector
Department for Education,Core,09/02/2023,Other Costs,Capital Directorate,Mott MacDonald Ltd,D-PINV052109,"232,303.20",Research & development
Department for Education,Core,02/02/2023,Other costs,Capital Directorate,REXEL UK LIMITED,D-PINV051974,"1,724,254.22",Air Filtration/Covid Ventilation for Education
Department for Education,Core,09/02/2023,Other costs,Capital Directorate,REXEL UK LIMITED,D-PINV052160,"303,862.94",Air Filtration/Covid Ventilation for Education
Department for Education,Core,28/02/2023,Other costs,Capital Directorate,REXEL UK LIMITED,D-PINV052538,"54,394.56",Air Filtration/Covid Ventilation for Education
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,The Liverpool Joint Catholic CofE Academies Trust,DU00098951,"142,838.91",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,The Liverpool Joint Catholic CofE Academies Trust,DU00098952,"69,549.13",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Waterton Academy Trust,DU00098953,"41,584.16",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,BLACKPOOL BOROUGH COUNCIL,DU00098958,"26,091.78",Capital grants - Local Government
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Diocese of Lancaster,DU00098964,"32,795.69",Capital grants - Local Government
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Sefton Metropolitan Borough Council,DU00098965,"27,776.00",Capital grants - Local Government
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00098970,"65,672.41",Capital grants - Local Government
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Keystone Academy Trust,DU00098975,"30,798.33",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098980,"35,587.48",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098981,"59,236.42",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098984,"59,214.68",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098985,"39,489.49",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098987,"41,496.64",Capital grants - Academy Trust
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,DU00098990,"87,745.66",Capital grants - Local Government
Department for Education,Core,03/02/2023,Grants Expenditure,Capital Directorate,Nova Education Trust,DU00098991,"45,883.12",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Crofty Multi Academy Trust,DU00098994,"25,575.97",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00098996,"67,798.61",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,The McAuley Catholic High School,DU00098999,"213,323.36",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,DU00099004,"51,158.78",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,NORTH YORKSHIRE COUNTY COUNCIL,DU00099005,"45,824.00",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,SOUTH GLOUCESTERSHIRE COUNCIL,DU00099009,"67,601.32",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099013,"39,568.58",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Flying High Trust,DU00099015,"46,249.19",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,DONCASTER METRO BOROUGH COUNCIL,DU00099026,"71,763.14",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,NORTH YORKSHIRE COUNTY COUNCIL,DU00099029,"174,429.87",Capital grants - Local Government
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,The Diocese of Canterbury Academies Trust,DU00099031,"25,189.29",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,Astrea Academy Trust,DU00099032,"30,803.63",Capital grants - Academy Trust
Department for Education,Core,10/02/2023,Grants Expenditure,Capital Directorate,NOTTINGHAMSHIRE COUNTY COUNCIL,DU00099035,"53,291.29",Capital grants - Local Government
