Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SURREY COUNTY COUNCIL,CORE-MAIN-013292,350000.00,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,CROYDON LONDON BOROUGH COUNCIL,CORE-MAIN-013293,59027.70,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,TOGETHER FOR CHILDREN SUNDERLAND,CORE-MAIN-014591,105445.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SANDWELL CHILDRENS TRUST,CORE-MAIN-014592,609840.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SLOUGH CHILDRENS SERVICES TRUST LTD,CORE-MAIN-014593,183203.92,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SLOUGH CHILDRENS SERVICES TRUST LTD,CORE-MAIN-014594,174710.77,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,LOCAL GOVERNMENT ASSOCIATION,CORE-MAIN-014595,261580.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,WIRRAL METRO BOROUGH COUNCIL,CORE-MAIN-013294,69285.14,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DERBY CITY COUNCIL,CORE-MAIN-013295,93100.14,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,SOUTHWARK LONDON BOROUGH COUNCIL,CORE-MAIN-013296,59850.09,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,NORTH TYNESIDE METRO BOROUGH COUNCIL,CORE-MAIN-013297,84233.43,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,ISLINGTON LONDON BOROUGH COUNCIL,CORE-MAIN-013298,62066.76,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,LEEDS CITY COUNCIL,CORE-MAIN-013299,124133.52,Grants to local authorities
Department for Education,DfE Core,03/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,Improvement/Development Agency,CORE-MAIN-013300,72000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,HAVERING LONDON BOROUGH COUNCIL,CORE-MAIN-013548,59387.00,Grants to local authorities
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,MEDWAY COUNCIL,CORE-MAIN-013549,90382.27,Grants to local authorities
Department for Education,DfE Core,11/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,EDGE HILL UNIVERSITY,CORE-MAIN-013550,75023.46,Grants to local authorities
Department for Education,DfE Core,09/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,VSC Plus Limited,CORE-PINV-015080,101662.80,Other Professional Services
Department for Education,DfE Core,15/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,CORE-PINV-015488,694000.00,Other Professional Services
Department for Education,DfE Core,15/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,SKILLS FOR CARE LTD,CORE-PINV-015489,79343.64,Other Professional Services
Department for Education,DfE Core,15/02/2021,Professional Services,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-015498,108860.00,EDUCATIONAL SERVICES
Department for Education,DfE Core,15/02/2021,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-015499,599543.63,Training & Development costs
Department for Education,DfE Core,15/02/2021,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-015499,93534.33,Training & Development costs
Department for Education,DfE Core,15/02/2021,Learning & Development,CHILDRENS SOCIAL CARE,THE FRONTLINE ORGANISATION,CORE-PINV-015500,695000.00,Training & Development costs
Department for Education,DfE Core,19/02/2021,Other Goods & Services,CHILDRENS SOCIAL CARE,THE DARTINGTON HALL TRUST,CORE-PINV-015900,306205.00,Other Professional Services
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,WIRRAL METRO BOROUGH COUNCIL,CORE-MAIN-014596,69131.66,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,DERBY CITY COUNCIL,CORE-MAIN-014597,93100.14,Grants to local authorities
Department for Education,DfE Core,26/02/2021,Grants expenditure,CHILDRENS SOCIAL CARE,Buckinghamshire Council,CORE-MAIN-014598,48766.74,Grants to local authorities
