Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,COMMUNICATIONS DIRECTORATE,FAMILY RIGHTS GROUP LTD,1041111670,80000.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,03/02/2020,Other Goods & Services,Adoption and Children in Care Division,MOTT MACDONALD LTD,1041110152,126747.46,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,03/02/2020,Other Goods & Services,Adoption and Children in Care Division,MOTT MACDONALD LTD,1041110152,25349.49,"Fees / expenses of professionals such as auditors, accountants, lawyers, etc. engaged to provide advice or opinion on how to affect something"
Department for Education,DEPARTMENT FOR EDUCATION,04/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF HAVERING,1041110445,34429.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,05/02/2020,Grants expenditure,Adoption and Children in Care Division,THE SHARE FOUNDATION 3RD PARTY TRUST,1041110644,44200.00,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,05/02/2020,Consultancy,Adoption and Children in Care Division,DELOITTE,1041110699,46868.58,"Advisory services including fees, travel and expenses"
Department for Education,DEPARTMENT FOR EDUCATION,06/02/2020,Other Goods & Services,Adoption and Children in Care Division,SQW LTD,1041110865,-25580.00,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,06/02/2020,Other Goods & Services,Adoption and Children in Care Division,SQW LTD,1041110865,25580.00,Research and Development
Department for Education,DEPARTMENT FOR EDUCATION,11/02/2020,Grants expenditure,Adoption and Children in Care Division,BREAK CHARITY,1041111335,59472.21,Grants to educational establishments or not for profit organisations including other businesses
Department for Education,DEPARTMENT FOR EDUCATION,11/02/2020,Grants expenditure,Adoption and Children in Care Division,LANCASHIRE COUNTY COUNCIL,1041111358,64793.67,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,11/02/2020,Grants expenditure,Adoption and Children in Care Division,HAMPSHIRE COUNTY COUNCIL,1041111359,57448.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,WEST SUSSEX COUNTY COUNCIL,1041111408,60176.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LEICESTER CITY COUNCIL,1041111411,38798.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,WILTSHIRE COUNCIL,1041111413,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,STAFFORDSHIRE COUNCIL,1041111414,57008.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF LAMBETH COUNCIL,1041111416,73636.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,DEVON COUNTY COUNCIL,1041111418,42756.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,LONDON BOROUGH OF SOUTHWARK COUNCIL,1041111419,84721.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,TRAFFORD MB COUNCIL,1041111435,26127.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
Department for Education,DEPARTMENT FOR EDUCATION,12/02/2020,Grants expenditure,Adoption and Children in Care Division,SOUTHAMPTON CITY COUNCIL,1041111437,37213.00,Grants to local authorities / other establishments within aggregate external funding or aggregate exchequer grant
