Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,BROMLEY LONDON BOROUGH COUNCIL,CORE-MAIN-010172,40350.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,Buckinghamshire Council,CORE-MAIN-010173,42771.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CALDERDALE METRO BOROUGH COUNCIL,CORE-MAIN-010175,28245.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CAMBRIDGESHIRE COUNTY COUNCIL,CORE-MAIN-010176,52455.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CAMDEN LONDON BOROUGH COUNCIL,CORE-MAIN-010177,25017.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CHESHIRE EAST BOROUGH COUNCIL,CORE-MAIN-010179,28245.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CHESHIRE WEST & CHESTER COUNCIL,CORE-MAIN-010180,43578.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CITY OF YORK COUNCIL,CORE-MAIN-010181,29859.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CORNWALL COUNCIL,CORE-MAIN-010182,53263.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,COVENTRY CITY COUNCIL,CORE-MAIN-010184,55684.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CROYDON LONDON BOROUGH COUNCIL,CORE-MAIN-010185,313928.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,CUMBRIA COUNTY COUNCIL,CORE-MAIN-010186,38736.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DERBY CITY COUNCIL,CORE-MAIN-010188,40350.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DERBYSHIRE COUNTY COUNCIL,CORE-MAIN-010189,75859.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DEVON COUNTY COUNCIL,CORE-MAIN-010190,113788.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DONCASTER METRO BOROUGH COUNCIL,CORE-MAIN-010191,50841.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DORSET COUNCIL,CORE-MAIN-010192,54877.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DUDLEY METRO BOROUGH COUNCIL,CORE-MAIN-010193,67789.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,DURHAM COUNTY COUNCIL,CORE-MAIN-010194,51648.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,EALING LONDON BOROUGH COUNCIL,CORE-MAIN-010195,52455.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,EAST RIDING OF YORKSHIRE COUNCIL,CORE-MAIN-010196,41157.75,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,EAST SUSSEX COUNTY COUNCIL,CORE-MAIN-010197,74245.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,ENFIELD LONDON BOROUGH COUNCIL,CORE-MAIN-010198,66175.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,ESSEX COUNTY COUNCIL,CORE-MAIN-010199,137999.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,GATESHEAD COUNCIL,CORE-MAIN-010200,57298.00,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,Gloucestershire County Council,CORE-MAIN-010201,90385.50,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,GREENWICH LONDON BOROUGH COUNCIL,CORE-MAIN-010202,79087.25,Grants to local authorities
Department for Education,DfE Core,31/12/2020,Grants expenditure,Adoption and Children in Care Division,HACKNEY LONDON BOROUGH COUNCIL,CORE-MAIN-010203,63754.00,Grants to local authorities
