Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,24/06/2022,Other Goods & Services,Customer Experience and Digital,United Church Schools Trust,CORE-PINV-039330,"91,715.48 ",Professional Services,,,,,,,,,
Department for Education,Core,30/06/2022,Grants Expenditure,Customer Experience and Digital,United Church Schools Trust,CORE-MAIN-034842,"332,173.20 ",Current grants,,,,,,,,,
Department for Education,Core,09/06/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-038616,"85,941.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,09/06/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-038620,"58,878.00 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,10/06/2022,IS/IT,Technology,Bae Systems Applied Intelligence Ltd,CORE-PINV-038685,"33,600.00 ",Systems Operations,,,,,,,,,
Department for Education,Core,15/06/2022,IS/IT,Technology,Phoenix Software Ltd,CORE-PINV-038744,"95,730.67 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,09/06/2022,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-038599,"84,382.70 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,09/06/2022,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-038600,"32,516.57 ",Short term & agency staff,,,,,,,,,
Department for Education,Core,15/06/2022,IS/IT,Technology,Insight Direct (UK) Ltd,CORE-PCR-001265,"-74,609.28 ",End User Software & Hardware,,,,,,,,,
Department for Education,Core,20/06/2022,IS/IT,Technology,Methods Business and Digital Technology Ltd,CORE-PINV-039031,"86,319.30 ",Systems Operations,,,,,,,,,
Department for Education,Core,24/06/2022,Staff - Professional Subscriptions,"Analysis, Data Exploitation and Science",CSR/HMRC,CORE-PINV-039339,"49,200.00 ",Membership of Organisations,,,,,,,,,
Department for Education,Core,14/06/2022,Consultancy,"Analysis, Data Exploitation and Science",Altiar Limited,CORE-PINV-038764,"96,000.00 ",Consultancy - IT/IS,,,,,,,,,
Department for Education,Core,30/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",EBSCO International Inc,CORE-PINV-039497,"42,454.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,01/06/2022,Other Costs,"Analysis, Data Exploitation and Science",ECORYS UK LTD,CORE-PINV-038364,"41,633.00 ",Research & development,,,,,,,,,
Department for Education,Core,30/06/2022,Other Costs,"Analysis, Data Exploitation and Science",ECORYS UK LTD,CORE-PINV-039511,"73,095.24 ",Research & development,,,,,,,,,
Department for Education,Core,13/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-038729,"78,285.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,29/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-039470,"101,574.82 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,30/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-039501,"121,645.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,30/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-039500,"32,364.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,29/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",Ipsos (market research) Ltd,CORE-PINV-039475,"353,138.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,20/06/2022,Other Costs,"Analysis, Data Exploitation and Science",LSE ENTERPRISE LTD,CORE-PINV-039055,"61,118.00 ",Research & development,,,,,,,,,
Department for Education,Core,07/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-038436,"43,680.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,07/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-038437,"41,000.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,10/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-037122,"76,070.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,27/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",NATIONAL CENTRE FOR SOCIAL RESEARCH,CORE-PINV-039283,"25,000.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,06/06/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",PYE TAIT LTD,CORE-PINV-038074,"25,084.00 ",Research & Evaluation,,,,,,,,,
Department for Education,Core,23/06/2022,IS/IT,Data,Bramble Hub Limited,CORE-PINV-039030,"121,224.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/06/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-038711,"31,854.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/06/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-038720,"83,850.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/06/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-038714,"35,280.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,16/06/2022,IS/IT,Data,Engine Partners UK LLP - Engine Transformation,CORE-PINV-038722,"34,344.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,20/06/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-039059,"39,747.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,20/06/2022,IS/IT,Data,OLIVE JAR DIGITAL LTD,CORE-PINV-039058,"53,202.00 ",ICT repair & maintenance,,,,,,,,,
Department for Education,Core,09/06/2022,IS/IT,Data,HIVE IT LIMITED,CORE-PINV-038533,"66,372.00 ",Systems Operations,,,,,,,,,
Department for Education,Core,09/06/2022,IS/IT,Data,CADENCE INNOVA,CORE-PINV-038621,"98,220.00 ",Systems Operations,,,,,,,,,
Department for Education,Core,01/06/2022,Other Goods & Services,Strategy and Delivery,Cabinet Office,CORE-PINV-037682,"31,680.00 ",Professional Services,,,,,,,,,
Department for Education,Core,01/06/2022,Grants Expenditure,Capital Directorate,Kensington Aldridge Academy,DU00066941,"27,547.00 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,Core,17/06/2022,Grants Expenditure,Capital Directorate,Portakabin Ltd,D-PINV046277,"166,226.58 ",Current grants - Academy Trust,,,,,,,,,
Department for Education,Core,08/06/2022,Other Costs,Capital Directorate,Arcadis LLP,D-PCR001047,"-85,417.20 ",Research & development,,,,,,,,,
Department for Education,Core,08/06/2022,Other Costs,Capital Directorate,Arcadis LLP,D-PINV046038,"180,848.40 ",Research & development,,,,,,,,,
Department for Education,Core,13/06/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV046311,"54,636.00 ",Professional Services,,,,,,,,,
Department for Education,Core,16/06/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV046523,"59,136.00 ",Professional Services,,,,,,,,,
Department for Education,Core,16/06/2022,Other Goods & Services,Capital Directorate,Cognizant Worldwide Limited,D-PINV046522,"29,112.00 ",Professional Services,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,CL044874,"793,783.87 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BATH & NORTH EAST SOMERSET COUNCIL,CL044875,"110,337.68 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BEDFORD BOROUGH COUNCIL,CL044876,"864,381.63 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BIRMINGHAM CITY COUNCIL,CL044877,"2,762,751.01 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Blackburn with Darwen Borough Council,CL044878,"132,321.48 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BRADFORD CITY COUNCIL,CL044879,"38,189.25 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,BRENT LONDON BOROUGH COUNCIL,CL044880,"1,187,126.81 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Bristol City Council,CL044881,"1,412,573.62 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Buckinghamshire Council,CL044882,"849,789.35 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CALDERDALE METRO BOROUGH COUNCIL,CL044883,"358,995.23 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CAMBRIDGESHIRE COUNTY COUNCIL,CL044884,"1,741,166.84 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CENTRAL BEDFORDSHIRE COUNCIL,CL044885,"1,512,354.24 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,Cheshire East Council,CL044886,"625,916.03 ",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,20/06/2022,Grants Expenditure,Capital Directorate,CHESHIRE WEST & CHESTER COUNCIL,CL044887,"249,352.90 ",Capital grants - Local Government,,,,,,,,,
