Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042132,"696,477.06",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042132,"60,391.00",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042132,"1,371,977.78",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042133,"53,428.38",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042133,"4,632.73",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042133,"105,247.61",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042331,"2,733.16",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042331,"6,548.07",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042331,"152,844.11",Rentals
Department for Education,Core,30/08/2022,Accommodation & Estates - Maintenance,Operational Finance,Government Property Agency,CORE-PINV-042343,"104,604.22",Maintenance & Repairs
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042343,"3,627.50",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Other,Operational Finance,Government Property Agency,CORE-PINV-042343,"11,130.00",Estates Management
Department for Education,Core,30/08/2022,Accommodation & Estates - Rent & Rates,Operational Finance,Government Property Agency,CORE-PINV-042343,"208,513.38",Rentals
Department for Education,Core,01/08/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-040906,"101,095.72",Building Improvements
Department for Education,Core,12/08/2022,Other Costs,Operational Finance,Arcadis LLP,CORE-PINV-041715,"29,007.00",Building Improvements
Department for Education,Core,23/08/2022,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-042134,"52,915.46",Building Improvements
Department for Education,Core,26/08/2022,Other Costs,Operational Finance,Government Property Agency,CORE-PINV-042335,"135,233.10",Building Improvements
Department for Education,Core,30/08/2022,Other Costs,Operational Finance,Mace Ltd,CORE-PINV-042418,"62,043.60",Building Improvements
Department for Education,Core,01/08/2022,IS/IT,Funding,WellData Ltd,CORE-PINV-041059,"46,530.00",ICT Support & Services
Department for Education,Core,01/08/2022,IS/IT,Commercial,Commerce Decisions Ltd,CORE-PINV-040992,"160,800.00",End User Software & Hardware
Department for Education,Core,10/08/2022,Learning & Development,Commercial,Cabinet Office,CORE-PINV-041659,"100,900.00",Professsions Development
Department for Education,Core,10/08/2022,Learning & Development,Commercial,Cabinet Office,CORE-PINV-041657,"29,200.00",Professsions Development
Department for Education,Core,10/08/2022,Staff - Temporary Staff,Commercial,INVESTIGO LTD,CORE-PINV-041672,"68,340.53",Short term & agency staff
Department for Education,Core,09/08/2022,Other Costs,Commercial,ENGINE GROUP LTD,CORE-PINV-041539,"84,565.36",Software Development
Department for Education,Core,04/08/2022,Other Goods & Services,Commercial,GOVERNMENT ACTUARYS DEPT,CORE-PINV-041207,"87,883.00",Professional Services
Department for Education,Core,12/08/2022,Other Goods & Services,Commercial,WILLIS LIMITED,CORE-PINV-041761,"49,120.80",Professional Services
Department for Education,Core,12/08/2022,Other Goods & Services,Commercial,TOPMARK CLAIMS MANAGEMENT LTD,CORE-PINV-041738,"58,338.66",Professional Services
Department for Education,Core,22/08/2022,Other Goods & Services,Commercial,GOVERNMENT ACTUARYS DEPT,CORE-PINV-042118,"75,650.57",Professional Services
Department for Education,Core,01/08/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-041036,"90,552.00",Commercial Fast Stream Programme
Department for Education,Core,02/08/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-040988,"49,270.00",Teacher Pension Administration
Department for Education,Core,17/08/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-041973,"1,638,235.25",Secondee costs
Department for Education,Core,18/08/2022,Staff - Secondee,Commercial,Cabinet Office,CORE-PINV-042039,"91,987.50",Secondee costs
Department for Education,Core,04/08/2022,Provisions,Human Resources,Broadstone Pensions Limited,CORE-PINV-041077,"51,252.58",Provisions Expense - Utilisation
Department for Education,Core,04/08/2022,Staff - Other,Human Resources,Duradiamond Healthcare Ltd t/a Health Partners,CORE-PINV-041280,"32,283.40",Occupational Health
Department for Education,Core,17/08/2022,IS/IT,Customer Experience and Digital,Foundry4 Consulting Limited,CORE-PINV-040853,"22,275.00",Managed Services
Department for Education,Core,02/08/2022,IS/IT,Technology,AKHTER COMPUTERS LTD,CORE-PINV-041031,"187,188.88",End User Software & Hardware
Department for Education,Core,26/08/2022,Other Goods & Services,Customer Experience and Digital,CABINET OFFICE RM SHARED SERVICES,CORE-PINV-042321,"268,033.00",Staff (Fast Stream)
Department for Education,Core,05/08/2022,Grants Expenditure,Customer Experience and Digital,Diocese of Southwell and Nottingham MAT,CUPS0049198,"43,413.47",Capital grants
Department for Education,Core,10/08/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-041623,"43,096.67",Short term & agency staff
Department for Education,Core,10/08/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-041618,"53,499.00",Short term & agency staff
Department for Education,Core,10/08/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-041619,"34,248.00",Short term & agency staff
Department for Education,Core,10/08/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-041620,"45,912.00",Short term & agency staff
Department for Education,Core,18/08/2022,Staff - Temporary Staff,Customer Experience and Digital,ANDIGITAL LIMITED,CORE-PINV-041961,"27,711.00",Short term & agency staff
Department for Education,Core,01/08/2022,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-041065,"84,382.70",Short term & agency staff
Department for Education,Core,01/08/2022,Staff - Temporary Staff,Technology,SOL-TEC LIMITED,CORE-PINV-041064,"32,516.57",Short term & agency staff
Department for Education,Core,09/08/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PCR-001440,"-39,698.40",Systems Development
Department for Education,Core,09/08/2022,IS/IT,Technology,Bytes Software Services Ltd,CORE-PINV-041347,"1,204,955.21",Systems Development
Department for Education,Core,09/08/2022,IS/IT,Technology,Cabinet Office,CORE-PINV-041519,"73,124.71",End User Software & Hardware
Department for Education,Core,26/08/2022,IS/IT,Technology,COMPUTACENTER PLC,CORE-PINV-042367,"56,760.00",End User Software & Hardware
Department for Education,Core,30/08/2022,IS/IT,Technology,CDW LTD,CORE-PINV-042322,"176,958.65",Other IS/IT costs
Department for Education,Core,30/08/2022,IS/IT,Technology,Methods Business and Digital Technology Ltd,CORE-PINV-042267,"94,197.30",Systems Operations
Department for Education,Core,01/08/2022,Other Costs,"Analysis, Data Exploitation and Science",Kantar UK Ltd,CORE-PINV-041048,"53,000.00",Research & development
Department for Education,Core,01/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",Kantar UK Ltd,CORE-PINV-041049,"124,438.00",Research & Evaluation
Department for Education,Core,03/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-041100,"121,645.00",Research & Evaluation
Department for Education,Core,03/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-041102,"32,364.00",Research & Evaluation
Department for Education,Core,04/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-041286,"30,000.00",Research & Evaluation
Department for Education,Core,05/08/2022,Other Costs,"Analysis, Data Exploitation and Science",Kantar UK Ltd,CORE-PINV-041322,"30,620.00",Research & development
Department for Education,Core,10/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",SHEFFIELD HALLAM UNIVERSITY,CORE-PINV-041625,"131,231.00",Research & Evaluation
Department for Education,Core,11/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",IFF RESEARCH LTD,CORE-PINV-041216,"599,881.38",Research & Evaluation
Department for Education,Core,12/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",Ipsos (market research) Ltd,CORE-PINV-041794,"42,465.00",Research & Evaluation
Department for Education,Core,12/08/2022,Other Goods & Services,"Analysis, Data Exploitation and Science",LONDON ECONOMICS LTD,CORE-PINV-034859,"24,590.00",Research & Evaluation
