Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,Archdiocese of Liverpool,CUPS0042313,"114,264.36",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,CORNWALL COUNCIL,CUPS0041542,"31,600.59",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Cornwall Education Learning Trust,CUPS0041469,"26,776.57",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Cornwall Education Learning Trust,CUPS0041472,"39,372.05",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,CUMBRIA COUNTY COUNCIL,CUPS0040819,"31,694.66",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,DERBYSHIRE COUNTY COUNCIL,CUPS0040860,"42,356.00",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DEVONPORT DEVONPORT HIGH SCHOOL FOR BOYS ACADEMY TRUST,CUPS0040296,"74,981.00",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040209,"87,105.48",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040222,"64,157.64",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040225,"35,080.44",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040226,"46,353.54",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040257,"27,196.39",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040267,"26,011.49",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040276,"29,543.64",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040284,"26,545.53",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040682,"25,335.94",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040716,"25,020.94",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040720,"50,981.49",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0040830,"27,034.04",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0041437,"59,462.37",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,DURHAM COUNTY COUNCIL,CUPS0041442,"25,743.39",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,Eaglesfield Paddle CofE Primary Academy,CUPS0042308,"31,082.30",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Eden Learning Trust,CUPS0040208,"27,620.92",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,EMPOWER TRUST,CUPS0040832,"25,297.70",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,EMPOWER TRUST,CUPS0040833,"29,136.41",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,EMPOWER TRUST,CUPS0040846,"25,445.96",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Excalibur Academies Trust,CUPS0040700,"36,323.59",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Grange Primary School,CUPS0040241,"34,390.96",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,04/03/2022,Grants Expenditure,Digital and Technology,Grange Primary School,CUPS0040258,"31,343.16",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,GUILDFORD DIOCESAN BOARD OF FINANCE,CUPS0040736,"31,933.67",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0040820,"27,104.74",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0040858,"39,382.50",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0041524,"42,141.21",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0041525,"30,973.66",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0041528,"26,449.63",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,25/03/2022,Grants Expenditure,Digital and Technology,Horizon Multi Academy Trust,CUPS0042296,"37,469.93",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,11/03/2022,Grants Expenditure,Digital and Technology,KENT COUNTY COUNCIL,CUPS0040728,"28,825.56",Capital grants - Local Government,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Learn Academies Trust,CUPS0041391,"32,477.12",Capital grants - Academy Trust,,,,,,,,,
Department for Education,Core,18/03/2022,Grants Expenditure,Digital and Technology,Learn Academies Trust,CUPS0041395,"28,813.56",Capital grants - Academy Trust,,,,,,,,,
