Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",G33k Ltd,370395,11025,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,SL1 6LG,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Palisade Europe Uk Ltd,370484,4445,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,UB7 7PN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Palisade Europe Uk Ltd,370491,4445,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,UB7 7PN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Exp - Miscellaneous Expenditure - Iexpenses,"Trade, Europe And Analysis - Analysis Directorate","Personal Expense, Name Withheld",370500,78.58,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Logix It Recruitment Ltd,370531,-11025,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Logix It Recruitment Ltd,370531,22050,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BR1 1NA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",People Source Consulting Ltd,370618,11000,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,BS1 6BA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,R & D Economic Consultancy And Research,"Trade, Europe And Analysis - Analysis Directorate",Kantar Uk Ltd,370633,59219,Construction: Statistics And Other Sponsorship Activities-r & D Economic Consultancy And Research,W5 1UA,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Fordway Solutions Ltd,370659,134318.81,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Ict Outsourcing & Maintenance/Support,"Trade, Europe And Analysis - Analysis Directorate",Fordway Solutions Ltd,370663,14300,Mf Devolved Admin-ict Outsourcing & Maintenance/Support,GU7 1JJ,VENDOR,,,,,,,,,,,,,,,,,,
