Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,External Legal Advice And Service,"Industrial Strategy, Science And Innovation - International Science And Innovation",Brick Court Chambers,372490,425.25,Mf Devolved Admin-external Legal Advice And Service,WC2R 3LD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,External Legal Advice And Service,"Industrial Strategy, Science And Innovation - International Science And Innovation",Brick Court Chambers,372491,1119,Mf Devolved Admin-external Legal Advice And Service,WC2R 3LD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,C4x Discovery Ltd,370216,10800,Mf Devolved Admin-consultancy Expenditure,M1 3LD,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370233,2365.18,Vtf - Vaccines Programme-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370827,-1970.58,Vtf - Vaccines Programme-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370827,4335.76,Vtf - Vaccines Programme-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370854,1231.86,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371589,1231.86,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371590,615.94,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371610,5912.94,Vtf - Vaccines Programme-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,372792,1231.86,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",21/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,372814,2365.18,Vtf - Vaccines Programme-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,365176,201789,Mf Devolved Admin-consultancy Expenditure,SW1E 5DN,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,365970,251160,Mf Devolved Admin-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,368571,64890,Mf Devolved Admin-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,369769,156840,Mf Devolved Admin-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,R & D External Legal Advice And Services,Vaccines Taskforce - Vaccines Taskforce,Clifford Chance Llp,369902,10921.2,Mf Devolved Admin-r & D External Legal Advice And Services,E14 5JJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369959,5173.82,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369965,7391.16,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369966,18939.84,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,Stationery,Vaccines Taskforce - Vaccines Taskforce,"Personal Expense, Name Withheld",370686,99.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371027,5173.82,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371030,9238.92,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371031,-16148.5,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371031,25849.42,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371035,20767.2,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,371275,8100,Mf Devolved Admin-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",17/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Pa Consulting Services Ltd,371287,70800,Mf Devolved Admin-consultancy Expenditure,SG8 6DP,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",11/12/2020,Stationery,Vaccines Taskforce - Vaccines Taskforce,"Personal Expense, Name Withheld",371530,27.99,Mf Devolved Admin-stationery,,EMPLOYEE,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371715,2586.91,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371719,9238.92,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,371720,9700.92,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,372896,9700.92,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",22/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,372901,6645.5,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Ibm United Kingdom Ltd,368017,48480,Mf Devolved Admin-consultancy Expenditure,PO6 3AE,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Ibm United Kingdom Ltd,368206,164160,Mf Devolved Admin-consultancy Expenditure,EC3R 7QQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Biopharma Excellence Gmbh,368447,5826.38,Vtf - Vaccines Programme-consultancy Expenditure,80992,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,External Legal Advice And Service,Vaccines Taskforce - Vaccines Taskforce,Pinsent Masons Llp,368700,198806.9,Mf Devolved Admin-external Legal Advice And Service,EC2A 4ES,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,R & D Clinical Trials,Vaccines Taskforce - Vaccines Taskforce,Oxford Immunotec Ltd,369684,-68532,Vtf - Vaccines Programme-r & D Clinical Trials,OX14 4RZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,R & D Clinical Trials,Vaccines Taskforce - Vaccines Taskforce,Oxford Immunotec Ltd,369684,137064,Vtf - Vaccines Programme-r & D Clinical Trials,OX14 4RZ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369900,-5838.72,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369901,-13269.6,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369946,923.89,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369956,1478.23,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369957,6964.64,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369961,7391.23,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369963,800.71,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369964,3387.66,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369967,7021.61,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369968,3695.58,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369969,4619.46,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369970,3695.58,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369972,2586.91,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369973,14745.38,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369976,2189.52,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369977,6369.41,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",01/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369979,1856.12,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,369995,2463.72,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370225,7310.34,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370227,4434.67,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370228,2217.35,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",02/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370229,4485.96,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370230,7563.67,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370231,6634.8,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370232,1847.81,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370234,4619.46,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370236,3079.66,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370238,3233.64,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",03/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370240,8699.4,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,External Legal Advice And Service,Vaccines Taskforce - Vaccines Taskforce,Clifford Chance Llp,370573,-2011.8,Mf Devolved Admin-external Legal Advice And Service,E14 5JJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",07/12/2020,External Legal Advice And Service,Vaccines Taskforce - Vaccines Taskforce,Clifford Chance Llp,370573,12070.8,Mf Devolved Admin-external Legal Advice And Service,E14 5JJ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",14/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Biopharma Excellence Gmbh,370742,7896.82,Vtf - Vaccines Programme-consultancy Expenditure,80992,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370802,6369.41,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370807,7391.16,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",10/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370809,4311.48,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370812,5604.98,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370816,3233.64,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370818,1847.81,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370819,3695.58,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370821,3202.85,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370823,16622.88,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370824,3695.58,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370829,4485.96,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370831,7310.34,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370832,6303.06,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370834,14745.38,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370837,6785.53,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/12/2020,Consultancy Expenditure,Vaccines Taskforce - Vaccines Taskforce,Alexander Mann Solutions Ltd,370839,6809.03,Mf Devolved Admin-consultancy Expenditure,EC2N 3AQ,VENDOR,,,,,,,,,,,,,,,,,,
