Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Other Professional Services,"People, Strategy And Higher Education - Strategy And Growth",Government Actuarys Department,398354,47674.2,Mf Devolved Admin-other Professional Services,SE1 9RJ,WGA ONLY
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",15/06/2021,Economic Consultancy & Research,Market Frameworks - Dg & Group Support,Behavioural Insights Ltd,396956,15166.66,Mf Devolved Admin-economic Consultancy & Research,SW1H 9NP,GRANT
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",29/06/2021,Legal Services And Advice Agency,Market Frameworks - Dg & Group Support,Government Legal Department,398714,199.8,Mf Devolved Admin-legal Services And Advice Agency,SW1H 9JS,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Stationery,Scin - Ofc Negotiations - Scin - Ofc Negotiations,"Personal Expense, Name Withheld",395839,43.99,Eu Exit Core Beis Staff: Negotiations Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",04/06/2021,Stationery,Scin - Ofc Negotiations - Scin - Ofc Negotiations,"Personal Expense, Name Withheld",395839,200,Eu Exit Core Beis Staff: Negotiations Adm-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Learning And Dev - Cs Skills,Scin - Ofc Negotiations - Scin - Ofc Negotiations,"Brent, Wandsworth And Westminster Mind",397979,500,Eu Exit Core Beis Staff: Negotiations Adm-learning And Dev - Cs Skills,SW1P 2QU,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",28/06/2021,Research And Development Expenditure,Energy Transformation And Clean Growth - Energy Efficiency And Local,Centre For Sustainable Energy,394866,22972,Heat Networks Policy Support And Delivery-research And Development Expenditure,BS1 3LH,VENDOR
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",08/06/2021,Stationery,Energy Transformation And Clean Growth - Energy Efficiency And Local,"Personal Expense, Name Withheld",396370,30.73,Mf Devolved Admin-stationery,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",09/06/2021,Exp - Miscellaneous Expenditure - Iexpenses,Energy Transformation And Clean Growth - Energy Efficiency And Local,"Personal Expense, Name Withheld",396505,129,Mf Devolved Admin-exp - Miscellaneous Expenditure - Iexpenses,,EMPLOYEE
"Department for Business, Energy and Industrial Strategy","Department for Business, Energy and Industrial Strategy",16/06/2021,Outsourced Programme Management,Energy Transformation And Clean Growth - Energy Efficiency And Local,Triple Point Investment Management Llp,397165,265347.9,Hnip Delivery Programme Expenditure-outsourced Programme Management,EC4N 7AF,VENDOR
