Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Site Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/05/2022,Other Materiel Consumed,Defence Nuclear Organisation,BANNER GROUP LIMITED,S9 1XU,624726,Other Materiel Consumed,£61.18
Ministry of Defence,Ministry of Defence,20/05/2022,Other Materiel Consumed,Navy Command,CDW LIMITED,EC4M 7RB,626198,Other Materiel Consumed,£60.91
Ministry of Defence,Ministry of Defence,27/05/2022,Telecomms + IT non capital,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,627661,IT+Comms Internal Costs,£60.00
Ministry of Defence,Ministry of Defence,06/05/2022,Telecomms + IT non capital,Head Office and Corporate Services,BANNER GROUP LIMITED,S9 1XU,623420,IT+Comms Internal Costs,£59.82
Ministry of Defence,Ministry of Defence,25/05/2022,Other Materiel Consumed,Air Command,AKHTER COMPUTERS LIMITED,CM18 7PN,627016,Other Materiel Consumed,£59.74
Ministry of Defence,Ministry of Defence,17/05/2022,Telecomms + IT non capital,Army Command,XMA LTD,NG11 7EP,625466,IT+Comms Internal Costs,£58.80
Ministry of Defence,Ministry of Defence,25/05/2022,Transportation + Movement,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007824,Civilian Detached Duty,£58.18
Ministry of Defence,Ministry of Defence,16/05/2022,Rental Payments - Transport,Head Office and Corporate Services,MODUS SERVICES LIMITED,CF10 2GE,625008,Rental Payments-Transport-Oth,£55.89
Ministry of Defence,Ministry of Defence,10/05/2022,Telecomms + IT non capital,DES Bespoke Trading Entity,AKHTER COMPUTERS LIMITED,CM18 7PN,623899,IT+Comms Internal Costs,£55.62
Ministry of Defence,Ministry of Defence,19/05/2022,Telecomms + IT non capital,Army Command,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007802,IT+Comms Internal Costs,£51.05
Ministry of Defence,Ministry of Defence,11/05/2022,Telecomms + IT non capital,Strategic Command,BANNER GROUP LIMITED,S9 1XU,624123,IT+Comms Internal Costs,£49.62
Ministry of Defence,Ministry of Defence,18/05/2022,Other Materiel Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007795,Other Materiel Consumed,£49.45
Ministry of Defence,Ministry of Defence,24/05/2022,Med/Welfare/Soc+Rec Costs,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007818,Welfare Costs,£48.13
Ministry of Defence,Ministry of Defence,19 May 2022,Administration Pmnts+Cash loss,Army Command,VEOLIA ES (UK) LIMITED,WS11 8JP,626103,Administration Pmnts,£47.00
Ministry of Defence,Ministry of Defence,20/05/2022,Other Materiel Consumed,Defence Equipment and Support,BANNER GROUP LIMITED,S9 1XU,626279,Other Materiel Consumed,£45.60
Ministry of Defence,Ministry of Defence,20/05/2022,Telecomms + IT non capital,Army Command,BANNER GROUP LIMITED,S9 1XU,626279,IT+Comms Internal Costs,£45.33
Ministry of Defence,Ministry of Defence,20/05/2022,Fuels Non Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007810,Fuels Non Utilities Consumed,£42.39
Ministry of Defence,Ministry of Defence,26/05/2022,Fuels Non Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007832,Fuels Non Utilities Consumed,£41.97
Ministry of Defence,Ministry of Defence,19/05/2022,Telecomms + IT non capital,Air Command,BOXXE LIMITED,YO31 7RE,625906,IT+Comms Internal Costs,£41.40
Ministry of Defence,Ministry of Defence,19/05/2022,Heating Oil+Utilities Consumed,Head Office and Corporate Services,FOREIGN COMMONWEALTH & DEVELOPMENT OFFICE,MK10 1PX,300007800,Electricity,£41.15
